Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2019-11-15,breakout,BUY,9231.81,8473.65,-758.1599999999999
2020-02-26,breakout,BUY,10348.98,8790.39,-1558.59
2020-09-03,breakout,BUY,12271.4,10158.14,-2113.26
2021-05-17,breakout,BUY,63555.57,43547.02,-20008.550000000003
2021-09-21,breakout,BUY,52670.46,40711.34,-11959.120000000004
2021-11-18,breakout,BUY,67530.41,56893.67,-10636.740000000003
2022-04-11,breakout,BUY,47071.72,39530.2,-7541.520000000004
2022-08-19,breakout,BUY,23393.18,20832.56,-2560.619999999999
2022-11-08,breakout,BUY,21302.61,18537.65,-2764.959999999999
2023-02-10,breakout,BUY,22775.95,21631.55,-1144.4000000000017
2023-03-08,breakout,BUY,24329.49,21703.4,-2626.09
2023-04-21,breakout,BUY,30196.78,27263.02,-2933.7599999999984
2023-07-24,breakout,BUY,31454.17,29175.51,-2278.66
2024-01-22,breakout,BUY,46901.44,39553.71,-7347.730000000003
2024-04-17,breakout,BUY,73020.03,61289.21,-11730.82
2024-06-14,breakout,BUY,71400.0,66034.15,-5365.850000000006
2024-08-04,breakout,BUY,68011.05,58156.48,-9854.57
2024-09-06,breakout,BUY,64020.9,53944.13,-10076.770000000004
2025-02-24,breakout,BUY,104151.35,91523.34,-12628.01000000001
2025-06-05,breakout,BUY,111699.0,101498.5,-10200.5
