Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2019-10-26,mean_reversion,BUY,7415.47,9231.81,1816.3399999999992
2020-01-06,mean_reversion,BUY,6619.91,7777.53,1157.62
2020-04-06,mean_reversion,BUY,5169.45,7332.68,2163.2300000000005
2020-07-22,mean_reversion,BUY,9009.86,9518.56,508.6999999999989
2020-10-09,mean_reversion,BUY,10147.46,11057.75,910.2900000000008
2021-06-14,mean_reversion,BUY,36653.5,40522.72,3869.220000000001
2021-07-26,mean_reversion,BUY,29793.14,37238.35,7445.209999999999
2021-10-05,mean_reversion,BUY,40711.34,51472.55,10761.210000000006
2022-02-07,mean_reversion,BUY,36264.17,43822.1,7557.93
2022-05-30,mean_reversion,BUY,29034.65,31760.68,2726.029999999999
2022-07-18,mean_reversion,BUY,20372.31,22430.75,2058.4399999999987
2022-09-12,mean_reversion,BUY,21138.83,22395.73,1256.8999999999978
2022-12-13,mean_reversion,BUY,15922.56,17782.0,1859.4400000000005
2023-03-17,mean_reversion,BUY,20153.97,27391.98,7238.009999999998
2023-06-20,mean_reversion,BUY,25124.36,28316.76,3192.399999999998
2023-09-19,mean_reversion,BUY,26186.42,27212.67,1026.25
2024-05-15,mean_reversion,BUY,59102.52,66232.38,7129.860000000008
2024-07-15,mean_reversion,BUY,55855.27,64588.45,8733.18
2024-08-23,mean_reversion,BUY,56025.43,64020.9,7995.470000000001
2024-09-19,mean_reversion,BUY,53944.13,62852.8,8908.670000000006
2025-04-22,mean_reversion,BUY,76587.58,93456.34,16868.759999999995
