Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2025-07-05,breakout,BUY,100.0,110.0,10.0
2025-07-06,breakout,SELL,110.0,100.0,10.0
2025-07-07,trend_following,BUY,105.0,108.0,3.0
2019-10-22,trend_following,SELL,8017.72,8017.72,0.0
2019-10-23,trend_following,SELL,7466.85,7466.85,0.0
2019-10-24,trend_following,SELL,7415.47,7415.47,0.0
2019-10-25,trend_following,SELL,8653.66,8653.66,0.0
2019-10-26,trend_following,SELL,9231.81,9231.81,0.0
2019-10-27,trend_following,BUY,9530.88,9530.88,0.0
2019-10-28,trend_following,BUY,9198.09,9198.09,0.0
2019-10-29,trend_following,BUY,9408.43,9408.43,0.0
2019-10-30,trend_following,BUY,9154.99,9154.99,0.0
2019-10-31,trend_following,BUY,9142.65,9142.65,0.0
2019-11-01,trend_following,BUY,9230.4,9230.4,0.0
2019-11-02,trend_following,BUY,9288.85,9288.85,0.0
2019-11-03,trend_following,BUY,9203.46,9203.46,0.0
2019-11-04,trend_following,BUY,9391.41,9391.41,0.0
2019-11-05,trend_following,BUY,9301.49,9301.49,0.0
2019-11-06,trend_following,BUY,9346.85,9346.85,0.0
2019-11-07,trend_following,BUY,9210.1,9210.1,0.0
2019-11-08,trend_following,BUY,8781.14,8781.14,0.0
2019-11-09,trend_following,BUY,8810.15,8810.15,0.0
2019-11-10,trend_following,BUY,9039.3,9039.3,0.0
2019-11-11,trend_following,BUY,8731.92,8731.92,0.0
2019-11-12,trend_following,BUY,8821.69,8821.69,0.0
2019-11-13,trend_following,BUY,8791.21,8791.21,0.0
2019-11-23,trend_following,SELL,7314.92,7314.92,0.0
2019-11-24,trend_following,SELL,6905.31,6905.31,0.0
2019-11-25,trend_following,SELL,7121.63,7121.63,0.0
2019-11-26,trend_following,SELL,7151.05,7151.05,0.0
2019-11-27,trend_following,SELL,7515.75,7515.75,0.0
2019-11-28,trend_following,SELL,7424.67,7424.67,0.0
2019-11-29,trend_following,SELL,7737.13,7737.13,0.0
2019-11-30,trend_following,SELL,7548.08,7548.08,0.0
2019-12-01,trend_following,SELL,7396.18,7396.18,0.0
2019-12-02,trend_following,SELL,7296.97,7296.97,0.0
2019-12-03,trend_following,SELL,7281.25,7281.25,0.0
2019-12-04,trend_following,SELL,7195.68,7195.68,0.0
2019-12-05,trend_following,SELL,7381.97,7381.97,0.0
