Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2020-01-15,rsi_divergence,BUY,7270.83,8817.79,1546.960000000001
2020-05-10,rsi_divergence,BUY,6179.03,8726.3,2547.2699999999995
2021-08-01,rsi_divergence,BUY,38800.0,39867.61,1067.6100000000006
2022-03-30,rsi_divergence,BUY,37189.32,46966.07,9776.75
2023-01-30,rsi_divergence,BUY,17580.04,22831.95,5251.91
2023-03-18,rsi_divergence,BUY,20463.9,26917.17,6453.269999999997
2023-11-14,rsi_divergence,BUY,27723.71,35557.53,7833.82
2024-10-21,rsi_divergence,BUY,56025.43,67157.89,11132.46
2025-05-03,rsi_divergence,BUY,86035.84,95935.69,9899.850000000006
2020-01-14,rsi_divergence,BUY,6619.91,8847.12,2227.210000000001
2020-04-29,rsi_divergence,BUY,5390.21,8778.63,3388.419999999999
2021-07-28,rsi_divergence,BUY,34646.69,40004.07,5357.379999999997
2022-03-29,rsi_divergence,BUY,36806.1,47423.0,10616.9
2023-01-11,rsi_divergence,BUY,15922.56,17944.83,2022.2700000000025
2023-03-17,rsi_divergence,BUY,20153.97,27391.98,7238.009999999998
2023-10-20,rsi_divergence,BUY,26128.11,29659.06,3530.9500000000007
2024-10-20,rsi_divergence,BUY,53944.07,69029.51,15085.439999999997
2025-05-02,rsi_divergence,BUY,84253.48,96817.12,12563.64
