Date,Strategy,Signal,EntryPrice,ExitPrice,P&L
2019-11-23,trend_following,BUY,8791.21,7314.92,-1476.289999999999
2020-02-26,trend_following,BUY,9319.74,8790.39,-529.3500000000004
2020-08-28,trend_following,BUY,11320.03,11527.41,207.3799999999992
2021-01-26,trend_following,BUY,32222.22,32457.97,235.75
2021-04-24,trend_following,BUY,56946.89,50042.37,-6904.519999999997
2021-06-23,trend_following,BUY,32496.39,33664.27,1167.8799999999974
2021-09-13,trend_following,BUY,46027.77,44966.38,-1061.3899999999994
2021-12-05,trend_following,BUY,63601.17,49391.47,-14209.699999999995
2022-01-02,trend_following,BUY,47737.6,47339.15,-398.4499999999971
2022-02-27,trend_following,BUY,43892.43,37691.03,-6201.4000000000015
2022-06-14,trend_following,BUY,31119.2,22129.68,-8989.52
2022-09-02,trend_following,BUY,20784.16,19947.33,-836.8299999999981
2023-02-13,trend_following,BUY,21783.16,21774.44,-8.720000000001164
2023-03-16,trend_following,BUY,22346.68,25003.06,2656.380000000001
2023-04-25,trend_following,BUY,27512.82,28296.98,784.1599999999999
2023-07-20,trend_following,BUY,29925.02,29809.99,-115.02999999999884
2024-05-01,trend_following,BUY,69849.99,58361.6,-11488.390000000009
2024-08-06,trend_following,BUY,66822.0,56025.43,-10796.57
2024-12-26,trend_following,BUY,99315.12,95840.79,-3474.3300000000017
