open_time,open,high,low,close,volume
2020-09-18,3.0887,3.1543,2.8178,3.0994,16569.9
2020-09-19,3.096,3.243,2.9742,2.9887,7490.02
2020-09-20,3.0021,3.0021,2.7578,2.7726,3306.51
2020-09-21,2.9239,3.0116,2.53,2.8014,6467.7
2020-09-22,2.7407,2.9979,2.7019,2.9533,14572.4
2020-09-23,2.9317,3.0641,2.7507,2.8457,6412.35
2020-09-24,2.8257,3.25,2.8026,3.1367,7947.02
2020-09-25,3.1258,3.2604,2.9142,3.1925,4992.76
2020-09-26,3.1845,3.2342,3.0444,3.0722,3609.07
2020-09-27,3.1622,3.1747,3.0159,3.1747,1601.16
2020-09-28,3.1376,3.2045,2.924,2.924,2399.51
2020-09-29,3.0072,3.0156,2.883,2.951,2839.08
2020-09-30,2.9409,2.9705,2.8558,2.888,3068.44
2020-10-01,2.9008,2.9877,2.7031,2.8639,2828.24
2020-10-02,2.8515,2.8956,2.4627,2.609,3899.2
2020-10-03,2.6334,2.6581,2.552,2.552,1917.98
2020-10-04,2.5341,2.566,2.4274,2.5271,5558.49
2020-10-05,2.5271,2.6732,2.4753,2.66,5118.83
2020-10-06,2.643,2.643,2.1467,2.1469,5579.9
2020-10-07,2.1446,2.3981,2.1092,2.2997,11466.15
2020-10-08,2.2721,2.4666,2.023,2.3843,40403.38
2020-10-09,2.379,2.602,2.3226,2.5456,18077.56
2020-10-10,2.5453,2.5964,2.4023,2.4186,6444.92
2020-10-11,2.376,2.455,2.3504,2.416,8021.61
2020-10-12,2.46,2.6926,2.46,2.5849,12140.74
2020-10-13,2.54,2.5514,2.3553,2.3962,25034.49
2020-10-14,2.4219,2.4254,2.2464,2.3021,9602.08
2020-10-15,2.2957,2.3225,2.2126,2.2813,4270.51
2020-10-16,2.235,2.2351,2.1275,2.1375,50880.09
2020-10-17,2.1277,2.2341,2.1214,2.1746,3477.75
2020-10-18,2.224,2.2558,2.2019,2.2038,4204.25
2020-10-19,2.2145,2.2145,2.0671,2.0671,4625.66
2020-10-20,2.0513,2.0803,1.8511,1.89,14719.14
2020-10-21,1.9025,2.0953,1.8474,1.928,34510.54
2020-10-22,1.9069,2.0806,1.8618,1.9502,6209.36
2020-10-23,1.9425,1.9823,1.8619,1.9554,7022.68
2020-10-24,1.9514,1.9643,1.8912,1.9161,4068.7
2020-10-25,1.9104,1.9174,1.7423,1.7935,15186.09
2020-10-26,1.7803,1.8663,1.6323,1.6854,8919.34
2020-10-27,1.6863,1.7524,1.5984,1.7205,12545.11
2020-10-28,1.6942,1.7187,1.4576,1.5144,30547.47
2020-10-29,1.5334,1.5724,1.4209,1.4209,8672.33
2020-10-30,1.4356,1.4685,1.347,1.4676,8100.16
2020-10-31,1.4323,1.5306,1.4323,1.528,2717.27
2020-11-01,1.5277,1.637,1.5277,1.637,6134.48
2020-11-02,1.6293,1.6293,1.4722,1.4909,2645.88
2020-11-03,1.4459,1.4671,1.4158,1.4171,6717.58
2020-11-04,1.4054,1.4054,1.2968,1.3876,26062.93
2020-11-05,1.4041,1.4742,1.3424,1.4022,5136.45
2020-11-06,1.4024,1.9416,1.4012,1.9139,21194.76
2020-11-07,1.9142,2.4801,1.8704,2.052,49160.35
2020-11-08,1.9769,2.2618,1.9769,2.1523,18160.85
2020-11-09,2.1495,2.1788,1.9836,2.0444,12886.25
2020-11-10,2.0159,2.3044,2.0159,2.2897,4864.19
2020-11-11,2.2739,2.2918,2.0172,2.0172,2734.59
2020-11-12,1.95,2.0426,1.844,1.8784,6469.96
2020-11-13,1.9063,2.042,1.9063,2.0283,9966.33
2020-11-14,2.003,2.0263,1.8906,1.9212,3277.54
2020-11-15,1.9672,2.2169,1.9282,2.0357,24049.85
2020-11-16,2.0347,2.3666,2.0347,2.264,10586.6
2020-11-17,2.3118,2.3197,2.1312,2.1985,6237.94
2020-11-18,2.216,2.216,2.0176,2.1263,10330.34
2020-11-19,2.1,2.1785,2.0187,2.0488,5588.36
2020-11-20,2.0845,2.224,2.0557,2.1272,2439.31
2020-11-21,2.1368,2.4901,2.0483,2.3608,12010.44
2020-11-22,2.4043,2.4043,2.0962,2.1502,6994.03
2020-11-23,2.1735,2.3528,2.1367,2.2895,14798.44
2020-11-24,2.2568,2.4481,2.1406,2.2342,8820.79
2020-11-25,2.3019,2.4855,2.2014,2.2489,5108.66
2020-11-26,2.2931,2.2978,1.7133,1.8639,22657.99
2020-11-27,1.9172,1.9629,1.7887,1.855,6461.72
2020-11-28,1.8522,1.929,1.8076,1.8857,3757.14
2020-11-29,1.8731,1.9456,1.864,1.918,1222.64
2020-11-30,1.9379,2.0095,1.9117,1.9702,1724.26
2020-12-01,1.9617,2.1461,1.92,1.9898,3540.59
2020-12-02,1.9531,2.1891,1.9531,2.1184,5901.64
2020-12-03,2.1106,2.2217,2.091,2.091,5658.43
2020-12-04,2.1047,2.1047,1.8473,1.8473,20110.35
2020-12-05,1.8501,1.9838,1.8435,1.9838,3672.88
2020-12-06,1.9778,1.9778,1.8221,1.8467,7333.59
2020-12-07,1.8458,1.8838,1.8222,1.8428,8312.06
2020-12-08,1.825,1.825,1.6436,1.6606,7079.67
2020-12-09,1.6633,1.6633,1.5095,1.635,9845.18
2020-12-10,1.6522,1.6547,1.5444,1.6104,6558.53
2020-12-11,1.5311,1.5311,1.4361,1.4486,4748.45
2020-12-12,1.4866,1.5187,1.4611,1.4926,2174.5
2020-12-13,1.4767,1.6464,1.4633,1.5686,8834.64
2020-12-14,1.5767,1.6129,1.5282,1.5784,3601.02
2020-12-15,1.6365,1.7888,1.6328,1.7203,9312.02
2020-12-16,1.7118,1.7849,1.6399,1.7838,15842.49
2020-12-17,1.8031,1.8031,1.6449,1.6766,5148.71
2020-12-18,1.6535,1.6963,1.6452,1.6931,4819.42
2020-12-19,1.6937,1.7623,1.6703,1.6707,9092.76
2020-12-20,1.6591,1.6817,1.524,1.5575,10903.41
2020-12-21,1.5624,1.62,1.5,1.5513,1947.89
2020-12-22,1.5368,1.5805,1.4753,1.4833,6948.32
2020-12-23,1.5144,1.5144,1.0818,1.2012,30481.58
2020-12-24,1.1772,1.3829,1.1725,1.3598,10804.66
2020-12-25,1.3576,1.4594,1.3576,1.4456,10527.93
2020-12-26,1.4281,1.4281,1.3156,1.326,3511.9
2020-12-27,1.3236,1.4139,1.2695,1.3189,11145.62
2020-12-28,1.3362,1.5216,1.331,1.5216,9957.17
2020-12-29,1.5249,1.7327,1.4463,1.6346,27093.34
2020-12-30,1.638,1.6635,1.53,1.5326,15055.19
2020-12-31,1.5258,1.5557,1.4335,1.4913,9233.61
2021-01-01,1.5144,1.852,1.5144,1.8455,21651.85
2021-01-02,1.8166,2.0,1.7299,1.7955,46078.01
2021-01-03,1.8228,2.3777,1.8043,2.1682,106665.66
2021-01-04,2.1986,2.4932,1.8942,2.4924,94388.0
2021-01-05,2.4627,2.4855,2.0785,2.1561,45673.25
2021-01-06,2.1582,2.1738,1.9464,1.97,153893.69
2021-01-07,1.9701,2.6261,1.9701,2.3734,222270.85
2021-01-08,2.3734,3.8037,2.2102,3.2163,286701.18
2021-01-09,3.2255,3.6761,2.9394,3.3823,106757.17
2021-01-10,3.403,3.7357,3.1804,3.4578,78370.54
2021-01-11,3.441,3.5175,2.6645,3.15,47183.71
2021-01-12,3.15,4.1,3.1483,3.86,32810.3
2021-01-13,3.86,7.9,3.3866,3.8129,68128.83
2021-01-14,3.8129,4.1999,3.3634,3.64,22960.36
2021-01-15,3.587,4.165,2.9918,3.2521,55007.04
2021-01-16,3.2423,3.6978,3.2423,3.4516,87202.83
2021-01-17,3.4318,4.05,3.3334,3.8301,85042.6
2021-01-18,3.8276,4.1032,3.6838,3.7826,48137.71
2021-01-19,3.7846,4.0319,3.6016,3.6516,56541.67
2021-01-20,3.6211,3.7999,3.3467,3.7207,64064.61
2021-01-21,3.7104,3.7104,3.0024,3.0093,48822.72
2021-01-22,3.0093,3.4998,2.7596,3.3531,65595.52
2021-01-23,3.3345,3.6101,3.3157,3.5202,20309.59
2021-01-24,3.5046,3.783,3.5046,3.625,18708.18
2021-01-25,3.625,3.9799,3.45,3.7037,95769.5
2021-01-26,3.6983,4.1006,3.6764,4.0472,71405.98
2021-01-27,4.0362,4.0417,3.54,3.7021,30803.59
2021-01-28,3.6829,3.95,3.6198,3.8272,34367.26
2021-01-29,3.8373,3.8866,3.6416,3.8401,28229.48
2021-01-30,3.8454,4.3294,3.7653,4.2368,60720.72
2021-01-31,4.2508,4.7814,4.1086,4.2637,72322.86
2021-02-01,4.2566,4.6,4.1134,4.6,28550.24
2021-02-02,4.6,5.4097,4.4867,5.283,68985.26
2021-02-03,5.2831,5.7781,5.0857,5.7273,58864.02
2021-02-04,5.7273,6.5615,5.6104,6.4271,85977.03
2021-02-05,6.427,7.1355,6.427,6.6829,83059.94
2021-02-06,6.702,6.8089,5.7183,6.1028,106857.73
2021-02-07,6.1027,6.999,5.7457,6.6833,56581.84
2021-02-08,6.6728,8.5889,6.4843,7.9187,85353.8
2021-02-09,7.9187,8.8756,7.6024,7.8703,67334.91
2021-02-10,7.8516,9.2499,7.5775,9.0833,81395.12
2021-02-11,9.0833,9.9262,8.7927,9.2562,62740.86
2021-02-12,9.2372,9.8913,9.0872,9.202,44980.43
2021-02-13,9.2706,9.6208,8.6592,8.7502,58373.88
2021-02-14,8.7793,9.2499,8.5488,8.7384,57188.72
2021-02-15,8.7384,9.3259,7.5149,8.8268,79960.53
2021-02-16,8.8272,9.0191,7.9699,8.3188,43602.93
2021-02-17,8.2463,8.4422,7.5479,8.232,42545.29
2021-02-18,8.2609,9.2827,8.1879,8.98,38426.01
2021-02-19,8.98,11.9371,8.5227,11.5016,139105.25
2021-02-20,11.4999,12.5332,9.7883,9.9876,85687.55
2021-02-21,9.9798,12.1626,9.9116,11.0837,54335.14
2021-02-22,11.0837,15.3846,9.0396,14.4651,268927.36
2021-02-23,14.4651,16.5,11.5787,15.2677,344211.46
2021-02-24,15.2531,18.2413,14.7541,17.2907,145265.15
2021-02-25,17.2907,17.7146,13.7979,13.8075,64366.68
2021-02-26,13.79,15.4875,13.1125,13.5817,116704.37
2021-02-27,13.5985,14.6419,13.0556,13.1839,55032.67
2021-02-28,13.1387,14.6029,11.4768,13.3905,59898.77
2021-03-01,13.2613,20.0,13.2613,15.1574,52604.33
2021-03-02,15.0035,16.05,13.4984,13.9683,48321.94
2021-03-03,13.9243,14.8498,13.771,14.1406,53262.74
2021-03-04,14.1164,14.3,12.6655,13.0935,29309.2
2021-03-05,13.0581,13.0884,12.1603,12.5624,15365.85
2021-03-06,12.6247,13.3787,11.8848,13.0752,25036.04
2021-03-07,13.0751,13.9936,12.6929,13.8356,22042.83
2021-03-08,13.7961,13.87,13.0631,13.6174,24705.13
2021-03-09,13.6335,15.0062,13.2841,14.8223,39973.47
2021-03-10,14.862,15.2267,14.0299,14.1916,35263.18
2021-03-11,14.1869,16.3156,13.6902,16.002,67473.55
2021-03-12,16.0472,16.5122,14.096,14.5853,52455.02
2021-03-13,14.5853,15.6931,13.925,15.3178,37311.84
2021-03-14,15.2983,15.3603,14.3631,14.5352,10104.52
2021-03-15,14.4671,14.8141,13.6358,14.1447,23830.46
2021-03-16,14.2492,14.2492,13.25,13.6358,28123.01
2021-03-17,13.6688,14.24,13.0714,14.2095,17491.51
2021-03-18,14.2524,14.7317,14.0096,14.2164,25937.6
2021-03-19,14.1924,14.5179,13.712,14.1354,29437.07
2021-03-20,14.1767,14.966,14.1067,14.1872,22105.3
2021-03-21,14.1706,14.3439,13.659,14.3129,22349.58
2021-03-22,14.3523,16.6941,14.1586,14.7954,120273.68
2021-03-23,14.804,15.2251,14.0559,14.2049,29236.55
2021-03-24,14.26,15.3391,13.6,13.6,39079.21
2021-03-25,13.5735,13.6803,12.5712,12.9479,44929.16
2021-03-26,13.066,14.7689,12.1,14.7454,48495.87
2021-03-27,14.7953,16.8083,14.7365,16.4313,56432.42
2021-03-28,16.5441,19.3603,16.3333,18.0577,125048.56
2021-03-29,18.1269,19.0111,17.6646,18.9338,59334.22
2021-03-30,18.9338,20.8638,18.9137,19.0924,62496.27
2021-03-31,19.1455,19.8201,18.0944,19.3965,46198.45
2021-04-01,19.4282,20.3326,18.7758,19.0294,70301.16
2021-04-02,19.0465,19.7908,18.5198,19.7489,46701.4
2021-04-03,19.7912,23.8,19.711,22.4172,186189.95
2021-04-04,22.4503,25.518,22.0528,23.8924,148961.38
2021-04-05,23.8179,24.677,22.7741,23.0037,104634.58
2021-04-06,23.0219,25.2938,21.8824,25.0722,154940.67
2021-04-07,25.1007,28.0,22.9663,26.4541,260513.53
2021-04-08,26.5844,27.9614,25.6643,27.0,123173.66
2021-04-09,26.8759,28.972,26.7476,27.6707,122082.51
2021-04-10,27.6673,28.2457,26.0,26.8361,78424.62
2021-04-11,26.7093,28.6574,25.5554,27.8363,66917.0
2021-04-12,27.8792,29.8879,26.8458,28.5443,108459.38
2021-04-13,28.6106,28.786,26.412,27.4445,57753.35
2021-04-14,27.4814,27.4814,24.7417,26.423,144609.43
2021-04-15,26.4262,28.2013,25.499,27.7903,83468.6
2021-04-16,27.8451,28.2295,24.5456,25.3358,87821.22
2021-04-17,25.3245,26.761,24.8044,24.8528,92967.63
2021-04-18,24.8574,32.958,21.0768,32.3092,529080.79
2021-04-19,32.4162,36.0,29.1997,31.531,483728.76
2021-04-20,31.5669,32.6558,28.6,31.798,305566.57
2021-04-21,31.7268,35.1015,30.1778,32.5406,291380.61
2021-04-22,32.6666,41.4964,31.4642,38.9397,463652.61
2021-04-23,38.9397,41.6304,31.579,37.2299,439703.45
2021-04-24,37.2635,43.6297,34.695,40.8535,333256.73
2021-04-25,41.0156,48.5879,40.61,47.4587,394783.91
2021-04-26,47.6982,48.473,43.1412,43.8929,321277.17
2021-04-27,43.8606,46.592,42.5502,43.1908,205177.83
2021-04-28,43.1457,46.9168,40.6255,44.9067,247344.66
2021-04-29,44.8296,46.1764,40.9741,42.6307,193306.9
