timestamp,symbol,signal,result,executed_at
2025-06-29T00:02:34.717934,BTC/USDT,hold,HOLD,2025-06-29T00:03:30.682347
2025-06-29T00:02:34.717934,ETH/USDT,hold,HOLD,2025-06-29T00:03:30.682683
2025-06-29T00:02:34.717934,ADA/USDT,hold,HOLD,2025-06-29T00:03:30.682825
2025-06-29T00:02:34.717934,BNB/USDT,hold,HOLD,2025-06-29T00:03:30.682922
2025-06-29T00:02:34.717934,SOL/USDT,hold,HOLD,2025-06-29T00:03:30.683055
2025-06-29T00:05:24.946509,BTC/USDT,hold,HOLD,2025-06-29T00:05:25.280393
2025-06-29T00:05:24.946509,ETH/USDT,hold,HOLD,2025-06-29T00:05:25.280823
2025-06-29T00:05:24.946509,ADA/USDT,hold,HOLD,2025-06-29T00:05:25.280938
2025-06-29T00:05:24.946509,BNB/USDT,hold,HOLD,2025-06-29T00:05:25.281076
2025-06-29T00:05:24.946509,SOL/USDT,hold,HOLD,2025-06-29T00:05:25.281192
2025-06-29T00:07:20.163489,BTC/USDT,hold,HOLD,2025-06-29T00:07:20.507853
2025-06-29T00:07:20.163489,ETH/USDT,hold,HOLD,2025-06-29T00:07:20.508335
2025-06-29T00:07:20.163489,ADA/USDT,hold,HOLD,2025-06-29T00:07:20.508444
2025-06-29T00:07:20.163489,BNB/USDT,hold,HOLD,2025-06-29T00:07:20.508592
2025-06-29T00:07:20.163489,SOL/USDT,hold,HOLD,2025-06-29T00:07:20.508707
