timestamp,symbol,action,price,reason,position_type
2025-06-30T07:14:27.247143+00:00,BTCUSDT,ENTER,107567,Strategy BUY signal,long
2025-06-30T07:14:27.359305+00:00,ETHUSDT,ENTER,2467.69,Strategy SELL signal,short
2025-06-30T07:36:19.909417+00:00,BTCUSDT,ENTER,107709,Strategy BUY signal,long
2025-06-30T07:36:20.016447+00:00,ETHUSDT,ENTER,2474.93,Strategy SELL signal,short
2025-06-30T07:42:22.988998+00:00,BTCUSDT,EXIT,1.0,Trailing Stop,long
2025-06-30T07:42:54.233014+00:00,BTCUSDT,ENTER,1.0,Strategy BUY signal,long
2025-06-30T07:43:37.686319+00:00,BTCUSDT,ENTER,107923.42,Strategy BUY signal,long
2025-06-30T07:44:09.924327+00:00,BTCUSDT,ENTER,107923.42,Strategy BUY signal,long
2025-06-30T07:45:23.735526+00:00,BTCUSDT,ENTER,107714.74,Strategy BUY signal,long
2025-06-30T07:45:24.475707+00:00,ETHUSDT,ENTER,2475.76,Strategy SELL signal,short
2025-06-30T07:45:57.404379+00:00,BTCUSDT,ENTER,107712.4,Strategy BUY signal,long
2025-06-30T07:45:58.118727+00:00,ETHUSDT,ENTER,2478.88,Strategy SELL signal,short
2025-06-30T07:47:39.663387+00:00,BTCUSDT,ENTER,107712.08,Strategy BUY signal,long
2025-06-30T07:47:40.524443+00:00,ETHUSDT,ENTER,2478.88,Strategy SELL signal,short
2025-06-30T08:40:23.285742+00:00,BTCUSDT,ENTER,107585.02,Strategy BUY signal,long
2025-06-30T08:40:24.199154+00:00,ETHUSDT,ENTER,2472.15,Strategy SELL signal,short
2025-06-30T09:53:27.604900+00:00,BTCUSDT,ENTER,107500.0,Strategy BUY signal,long
2025-06-30T09:53:28.514154+00:00,ETHUSDT,ENTER,2461.39,Strategy SELL signal,short
2025-06-30T09:58:29.738817+00:00,BTCUSDT,ENTER,107503.26,Strategy BUY signal,long
2025-06-30T10:03:31.045985+00:00,BTCUSDT,ENTER,107593.03,Strategy BUY signal,long
